Title,Description,Sentiment,Title_Emoji_Converted,Description_Emoji_Converted,Title_Clean,Description_Clean
ABSOLUTO ❤️,"La verdad NO tenía altas espectativas debido a que la frecuencia base me parecía muy baja (@2.1 ghz), sin embargo haciendo algunos test de rendimiento, rapidamente los nucleos subian a 4.3 ghz sin mucho esfuerzo aparente. Los resultados de los benchmark fueron muy altos y la temperatura muy bien gestionada. Estoy contento con este i7 12700... Trabajo con Edición de video profesional
.
The truth is I did NOT have high expectations because the base frequency seemed very low (@2.1 ghz), however doing some performance tests, the cores quickly went up to 4.3 ghz without much apparent effort, the benchmark results were very high and temperature very well managed. I am happy with this i7 12700",positive,ABSOLUTO red heart,"La verdad NO tenía altas espectativas debido a que la frecuencia base me parecía muy baja (@2.1 ghz), sin embargo haciendo algunos test de rendimiento, rapidamente los nucleos subian a 4.3 ghz sin mucho esfuerzo aparente. Los resultados de los benchmark fueron muy altos y la temperatura muy bien gestionada. Estoy contento con este i7 12700... Trabajo con Edición de video profesional
.
The truth is I did NOT have high expectations because the base frequency seemed very low (@2.1 ghz), however doing some performance tests, the cores quickly went up to 4.3 ghz without much apparent effort, the benchmark results were very high and temperature very well managed. I am happy with this i7 12700",absoluto red heart,"la verdad no tena altas espectativas debido a que la frecuencia base me pareca muy baja 21 ghz sin embargo haciendo algunos test de rendimiento rapidamente los nucleos subian a 43 ghz sin mucho esfuerzo aparente los resultados de los benchmark fueron muy altos y la temperatura muy bien gestionada estoy contento con este i7 12700 trabajo con edicin de video profesional

the truth is i did not have high expectations because the base frequency seemed very low 21 ghz however doing some performance tests the cores quickly went up to 43 ghz without much apparent effort the benchmark results were very high and temperature very well managed i am happy with this i7 12700"
Intel i7-12700 fast with onboard graphics,Fast and the graphics are serviceable. Only downside is you can't overclock it. I ended up getting a separate graphics card anyway so I should have gotten the 12700k or kf so I could overclock. Still very fast for anything I want to do.,positive,Intel i7-12700 fast with onboard graphics,Fast and the graphics are serviceable. Only downside is you can't overclock it. I ended up getting a separate graphics card anyway so I should have gotten the 12700k or kf so I could overclock. Still very fast for anything I want to do.,intel i712700 fast with onboard graphics,fast and the graphics are serviceable only downside is you cant overclock it i ended up getting a separate graphics card anyway so i should have gotten the 12700k or kf so i could overclock still very fast for anything i want to do
I got a used one and it works great!,"I love this thing, it's such an upgrade from what I had before. I used to have an i5-6700k, I paired this with a B660 MAG Tomahawk Wifi DDR4 and 64gb of ram and now things are niiice.",positive,I got a used one and it works great!,"I love this thing, it's such an upgrade from what I had before. I used to have an i5-6700k, I paired this with a B660 MAG Tomahawk Wifi DDR4 and 64gb of ram and now things are niiice.",i got a used one and it works great,i love this thing its such an upgrade from what i had before i used to have an i56700k i paired this with a b660 mag tomahawk wifi ddr4 and 64gb of ram and now things are niiice
Intel is the Best for Processors,This processor is a great deal for the money.,positive,Intel is the Best for Processors,This processor is a great deal for the money.,intel is the best for processors,this processor is a great deal for the money
doing it's job.,"no issues with the product, although i did get shipped the wrong product at first. everyone please double-check what comes in the mail.",negative,doing it's job.,"no issues with the product, although i did get shipped the wrong product at first. everyone please double-check what comes in the mail.",doing its job,no issues with the product although i did get shipped the wrong product at first everyone please doublecheck what comes in the mail
Great for content creators / productivity geared PCs,Runs fast with adequate cooling and the integrated graphics is perfect for Photoshop and editing with Premiere. The quick sync feature makes this chip well worth it!,positive,Great for content creators / productivity geared PCs,Runs fast with adequate cooling and the integrated graphics is perfect for Photoshop and editing with Premiere. The quick sync feature makes this chip well worth it!,great for content creators  productivity geared pcs,runs fast with adequate cooling and the integrated graphics is perfect for photoshop and editing with premiere the quick sync feature makes this chip well worth it
Definitely rocket speed,"Coming from my 3rd gen intel i5 chip, this thing is very fast. Runs cools with aftermarket cooler, easy installation.",positive,Definitely rocket speed,"Coming from my 3rd gen intel i5 chip, this thing is very fast. Runs cools with aftermarket cooler, easy installation.",definitely rocket speed,coming from my 3rd gen intel i5 chip this thing is very fast runs cools with aftermarket cooler easy installation
"easy install, no hassle.",this cpu chip works very well. The install process was very easy and stress free.,positive,"easy install, no hassle.",this cpu chip works very well. The install process was very easy and stress free.,easy install no hassle,this cpu chip works very well the install process was very easy and stress free
Overheats and crashes,"I'm really disappointed in this CPU. I thought I was upgrading to a more powerful computer but this chip in a new ASUS Prime board heats up with ordinary loads and crashes my Lenux OS computer. It does not even do as well as the CPU and board it replaced even though it was supposed to be much better. Too bad. I've returned the board for a refund and if this CPU goes back, too, if it does not perform better in a different mobo.",positive,Overheats and crashes,"I'm really disappointed in this CPU. I thought I was upgrading to a more powerful computer but this chip in a new ASUS Prime board heats up with ordinary loads and crashes my Lenux OS computer. It does not even do as well as the CPU and board it replaced even though it was supposed to be much better. Too bad. I've returned the board for a refund and if this CPU goes back, too, if it does not perform better in a different mobo.",overheats and crashes,im really disappointed in this cpu i thought i was upgrading to a more powerful computer but this chip in a new asus prime board heats up with ordinary loads and crashes my lenux os computer it does not even do as well as the cpu and board it replaced even though it was supposed to be much better too bad ive returned the board for a refund and if this cpu goes back too if it does not perform better in a different mobo
$500 of electronics and No in the box packing.,"Ordered a i7-12700 for $350 and $130 32G DDR5 memory and they arrived in a box together with NO PACKING MATERIAL at all, no bubble wrap, no paper, just randomly bouncing around in a medium size box together. When the rest of the components get here, if it does not work, I know what to send back.",negative,$500 of electronics and No in the box packing.,"Ordered a i7-12700 for $350 and $130 32G DDR5 memory and they arrived in a box together with NO PACKING MATERIAL at all, no bubble wrap, no paper, just randomly bouncing around in a medium size box together. When the rest of the components get here, if it does not work, I know what to send back.",500 of electronics and no in the box packing,ordered a i712700 for 350 and 130 32g ddr5 memory and they arrived in a box together with no packing material at all no bubble wrap no paper just randomly bouncing around in a medium size box together when the rest of the components get here if it does not work i know what to send back
Good for the price,"Good with ASUS TUF B660, benchmark 33000",positive,Good for the price,"Good with ASUS TUF B660, benchmark 33000",good for the price,good with asus tuf b660 benchmark 33000
I got an USED item,"This is an USED item. Lucky my son checked it out, he said it was very dirty. The attached photo shows the CPU has some grey residue which I suspect is thermal paste from last use. Besides, the box was beaten up and no instructions found inside the box.",negative,I got an USED item,"This is an USED item. Lucky my son checked it out, he said it was very dirty. The attached photo shows the CPU has some grey residue which I suspect is thermal paste from last use. Besides, the box was beaten up and no instructions found inside the box.",i got an used item,this is an used item lucky my son checked it out he said it was very dirty the attached photo shows the cpu has some grey residue which i suspect is thermal paste from last use besides the box was beaten up and no instructions found inside the box
dollar per threads,"Nice package, easy to install and best price for performance.",positive,dollar per threads,"Nice package, easy to install and best price for performance.",dollar per threads,nice package easy to install and best price for performance
This is the best you'll get in this price range Thats it!,"If you would be building pc just for gaming and slight editing or coding here and there this is perfect and the cost is really low considering what performance it gives, this CPU is by no means a low end CPU dont go gentle with that price the intel 12100f can easily handle GPUs upto gtx3060 or rx6800. Just go for it and say no to ryzen in this price for gaming.",positive,This is the best you'll get in this price range Thats it!,"If you would be building pc just for gaming and slight editing or coding here and there this is perfect and the cost is really low considering what performance it gives, this CPU is by no means a low end CPU dont go gentle with that price the intel 12100f can easily handle GPUs upto gtx3060 or rx6800. Just go for it and say no to ryzen in this price for gaming.",this is the best youll get in this price range thats it,if you would be building pc just for gaming and slight editing or coding here and there this is perfect and the cost is really low considering what performance it gives this cpu is by no means a low end cpu dont go gentle with that price the intel 12100f can easily handle gpus upto gtx3060 or rx6800 just go for it and say no to ryzen in this price for gaming
Awesome,"This is one of the best cpu in budget if you only looking for gaming.
For productivity it not worth buying then you should go for i5 12400f
But for gaming and light cpu workload it work like butter smooth.
I have teated some games in it , you can check it on my YT channel R tech studio.",positive,Awesome,"This is one of the best cpu in budget if you only looking for gaming.
For productivity it not worth buying then you should go for i5 12400f
But for gaming and light cpu workload it work like butter smooth.
I have teated some games in it , you can check it on my YT channel R tech studio.",awesome,"this is one of the best cpu in budget if you only looking for gaming
for productivity it not worth buying then you should go for i5 12400f
but for gaming and light cpu workload it work like butter smooth
i have teated some games in it  you can check it on my yt channel r tech studio"
Best in price when even compared to i5 10400f,Got this on sale for 7.26k.. Really enjoyed with processor. Heatsink fan provided looks good but sounds badly at peak usage. Replaced it with air cooler,positive,Best in price when even compared to i5 10400f,Got this on sale for 7.26k.. Really enjoyed with processor. Heatsink fan provided looks good but sounds badly at peak usage. Replaced it with air cooler,best in price when even compared to i5 10400f,got this on sale for 726k really enjoyed with processor heatsink fan provided looks good but sounds badly at peak usage replaced it with air cooler
Good,Performance is good,positive,Good,Performance is good,good,performance is good
Used or Unboxed product received,"Product is good but by looking at packaging anyone can judge that it is used. While checking warranty found that out of 3 year warranty, 6 months is already passed.",positive,Used or Unboxed product received,"Product is good but by looking at packaging anyone can judge that it is used. While checking warranty found that out of 3 year warranty, 6 months is already passed.",used or unboxed product received,product is good but by looking at packaging anyone can judge that it is used while checking warranty found that out of 3 year warranty 6 months is already passed
cpu with broken fan,Cpu stock cooler fan got broken with 1 blade in box was creating noise and virbration in cpu but processor was working fine so thought to replace but if replace it i dont know what i am gonna get with broken cpu chip so i replaced stock cooler with deepcool air cooler now it's working fine please don't buy critical pc parts from Amazon you may end up getting with broken parts worst packing,negative,cpu with broken fan,Cpu stock cooler fan got broken with 1 blade in box was creating noise and virbration in cpu but processor was working fine so thought to replace but if replace it i dont know what i am gonna get with broken cpu chip so i replaced stock cooler with deepcool air cooler now it's working fine please don't buy critical pc parts from Amazon you may end up getting with broken parts worst packing,cpu with broken fan,cpu stock cooler fan got broken with 1 blade in box was creating noise and virbration in cpu but processor was working fine so thought to replace but if replace it i dont know what i am gonna get with broken cpu chip so i replaced stock cooler with deepcool air cooler now its working fine please dont buy critical pc parts from amazon you may end up getting with broken parts worst packing
Good Cpu but awful Delivery,"The Processor is Good & Works Fine. But The Delivery was awful, one of the blades of the fan was broken. As i already had another dedicated cpu cooler, i didn't raise a return. I expected Better from Appario. Apart From this the Processor itself works fine.",positive,Good Cpu but awful Delivery,"The Processor is Good & Works Fine. But The Delivery was awful, one of the blades of the fan was broken. As i already had another dedicated cpu cooler, i didn't raise a return. I expected Better from Appario. Apart From this the Processor itself works fine.",good cpu but awful delivery,the processor is good  works fine but the delivery was awful one of the blades of the fan was broken as i already had another dedicated cpu cooler i didnt raise a return i expected better from appario apart from this the processor itself works fine
Perfeito,"Muito bom, super recomendo",positive,Perfeito,"Muito bom, super recomendo",perfeito,muito bom super recomendo
Funciona muy bien,Jala muy bien el procesador,neutral,Funciona muy bien,Jala muy bien el procesador,funciona muy bien,jala muy bien el procesador
Bueno,"Muy fluido, con el entorno adecuado. Excelente relación precio prestaciones.",neutral,Bueno,"Muy fluido, con el entorno adecuado. Excelente relación precio prestaciones.",bueno,muy fluido con el entorno adecuado excelente relacin precio prestaciones
good cpu,all good works as should happy with purchase,positive,good cpu,all good works as should happy with purchase,good cpu,all good works as should happy with purchase
Parfait,Fait bien le travail pourquoi il a été programmé,neutral,Parfait,Fait bien le travail pourquoi il a été programmé,parfait,fait bien le travail pourquoi il a t programm
This is the best you'll get in this price range Thats it!,"If you would be building pc just for gaming and slight editing or coding here and there this is perfect and the cost is really low considering what performance it gives, this CPU is by no means a low end CPU dont go gentle with that price the intel 12100f can easily handle GPUs upto gtx3060 or rx6800. Just go for it and say no to ryzen in this price for gaming.",positive,This is the best you'll get in this price range Thats it!,"If you would be building pc just for gaming and slight editing or coding here and there this is perfect and the cost is really low considering what performance it gives, this CPU is by no means a low end CPU dont go gentle with that price the intel 12100f can easily handle GPUs upto gtx3060 or rx6800. Just go for it and say no to ryzen in this price for gaming.",this is the best youll get in this price range thats it,if you would be building pc just for gaming and slight editing or coding here and there this is perfect and the cost is really low considering what performance it gives this cpu is by no means a low end cpu dont go gentle with that price the intel 12100f can easily handle gpus upto gtx3060 or rx6800 just go for it and say no to ryzen in this price for gaming
Awesome,"This is one of the best cpu in budget if you only looking for gaming.
For productivity it not worth buying then you should go for i5 12400f
But for gaming and light cpu workload it work like butter smooth.
I have teated some games in it , you can check it on my YT channel R tech studio.",positive,Awesome,"This is one of the best cpu in budget if you only looking for gaming.
For productivity it not worth buying then you should go for i5 12400f
But for gaming and light cpu workload it work like butter smooth.
I have teated some games in it , you can check it on my YT channel R tech studio.",awesome,"this is one of the best cpu in budget if you only looking for gaming
for productivity it not worth buying then you should go for i5 12400f
but for gaming and light cpu workload it work like butter smooth
i have teated some games in it  you can check it on my yt channel r tech studio"
Best in price when even compared to i5 10400f,Got this on sale for 7.26k.. Really enjoyed with processor. Heatsink fan provided looks good but sounds badly at peak usage. Replaced it with air cooler,positive,Best in price when even compared to i5 10400f,Got this on sale for 7.26k.. Really enjoyed with processor. Heatsink fan provided looks good but sounds badly at peak usage. Replaced it with air cooler,best in price when even compared to i5 10400f,got this on sale for 726k really enjoyed with processor heatsink fan provided looks good but sounds badly at peak usage replaced it with air cooler
Good,Performance is good,positive,Good,Performance is good,good,performance is good
Used or Unboxed product received,"Product is good but by looking at packaging anyone can judge that it is used. While checking warranty found that out of 3 year warranty, 6 months is already passed.",positive,Used or Unboxed product received,"Product is good but by looking at packaging anyone can judge that it is used. While checking warranty found that out of 3 year warranty, 6 months is already passed.",used or unboxed product received,product is good but by looking at packaging anyone can judge that it is used while checking warranty found that out of 3 year warranty 6 months is already passed
cpu with broken fan,Cpu stock cooler fan got broken with 1 blade in box was creating noise and virbration in cpu but processor was working fine so thought to replace but if replace it i dont know what i am gonna get with broken cpu chip so i replaced stock cooler with deepcool air cooler now it's working fine please don't buy critical pc parts from Amazon you may end up getting with broken parts worst packing,negative,cpu with broken fan,Cpu stock cooler fan got broken with 1 blade in box was creating noise and virbration in cpu but processor was working fine so thought to replace but if replace it i dont know what i am gonna get with broken cpu chip so i replaced stock cooler with deepcool air cooler now it's working fine please don't buy critical pc parts from Amazon you may end up getting with broken parts worst packing,cpu with broken fan,cpu stock cooler fan got broken with 1 blade in box was creating noise and virbration in cpu but processor was working fine so thought to replace but if replace it i dont know what i am gonna get with broken cpu chip so i replaced stock cooler with deepcool air cooler now its working fine please dont buy critical pc parts from amazon you may end up getting with broken parts worst packing
Good Cpu but awful Delivery,"The Processor is Good & Works Fine. But The Delivery was awful, one of the blades of the fan was broken. As i already had another dedicated cpu cooler, i didn't raise a return. I expected Better from Appario. Apart From this the Processor itself works fine.",positive,Good Cpu but awful Delivery,"The Processor is Good & Works Fine. But The Delivery was awful, one of the blades of the fan was broken. As i already had another dedicated cpu cooler, i didn't raise a return. I expected Better from Appario. Apart From this the Processor itself works fine.",good cpu but awful delivery,the processor is good  works fine but the delivery was awful one of the blades of the fan was broken as i already had another dedicated cpu cooler i didnt raise a return i expected better from appario apart from this the processor itself works fine
Perfeito,"Muito bom, super recomendo",positive,Perfeito,"Muito bom, super recomendo",perfeito,muito bom super recomendo
Funciona muy bien,Jala muy bien el procesador,neutral,Funciona muy bien,Jala muy bien el procesador,funciona muy bien,jala muy bien el procesador
Bueno,"Muy fluido, con el entorno adecuado. Excelente relación precio prestaciones.",neutral,Bueno,"Muy fluido, con el entorno adecuado. Excelente relación precio prestaciones.",bueno,muy fluido con el entorno adecuado excelente relacin precio prestaciones
good cpu,all good works as should happy with purchase,positive,good cpu,all good works as should happy with purchase,good cpu,all good works as should happy with purchase
Parfait,Fait bien le travail pourquoi il a été programmé,neutral,Parfait,Fait bien le travail pourquoi il a été programmé,parfait,fait bien le travail pourquoi il a t programm
Blazing fast,"Paired this with a Crucial BX500 1TB SSD, CORSAIR VENGEANCELPX 64GB RAM and the ASUS Prime H510M-E mother board.

The Movavi video editor now loads a file ready for editing in less than 4 seconds (my previous setup with 32Gb RAM used to take 90 seconds).",negative,Blazing fast,"Paired this with a Crucial BX500 1TB SSD, CORSAIR VENGEANCELPX 64GB RAM and the ASUS Prime H510M-E mother board.

The Movavi video editor now loads a file ready for editing in less than 4 seconds (my previous setup with 32Gb RAM used to take 90 seconds).",blazing fast,"paired this with a crucial bx500 1tb ssd corsair vengeancelpx 64gb ram and the asus prime h510me mother board

the movavi video editor now loads a file ready for editing in less than 4 seconds my previous setup with 32gb ram used to take 90 seconds"
Good processor,"Good processor.bang for bucks.everyday usage for office work is good enough.
If you want to play games also best.if you add a good GPU like rx570 ,rx 580, GTX 1660 super ,you achieve better gaming experience.

I play gta 5 without dedicated graphics card I was getting fps around 30-40fps on 720p resolution with Intel uhd 630 graphics which is playable.",positive,Good processor,"Good processor.bang for bucks.everyday usage for office work is good enough.
If you want to play games also best.if you add a good GPU like rx570 ,rx 580, GTX 1660 super ,you achieve better gaming experience.

I play gta 5 without dedicated graphics card I was getting fps around 30-40fps on 720p resolution with Intel uhd 630 graphics which is playable.",good processor,"good processorbang for buckseveryday usage for office work is good enough
if you want to play games also bestif you add a good gpu like rx570 rx 580 gtx 1660 super you achieve better gaming experience

i play gta 5 without dedicated graphics card i was getting fps around 3040fps on 720p resolution with intel uhd 630 graphics which is playable"
faster Processor speed in budget,"I like in 10000Rs segment processor
1. Inbuilt 4k support no need for Graphics Card for basic stuff like web browsing, ms office,watching 4k video at 60fps ( tested from OnePlus 6T 4k@60FPS )
buttery smooth in playback
2. base speed is 3.60ghz
3. supports 2666mhz Ram
4. power consumption is 65w which is good compare to older model 8th gen which consumption is 95w
5. I am editing 4k@60 in Adobe premier pro smoothly using HyperX 2666 DDR4 32GB RAM
6. SketchUp,AutoCAD 3D,Photoshop,Corel Draw works very good while you have ssd and more Ram configuration with this processor
7. Mac OS In VMware works good as it's virtualaization works Good

I suggest to buy Desktop Processor comparing to Laptop Processor

1 Higher clock speed
2 Can be upgrade
3 supporting motherboard support higher Ram speed and size so you will love to work with your computer",positive,faster Processor speed in budget,"I like in 10000Rs segment processor
1. Inbuilt 4k support no need for Graphics Card for basic stuff like web browsing, ms office,watching 4k video at 60fps ( tested from OnePlus 6T 4k@60FPS )
buttery smooth in playback
2. base speed is 3.60ghz
3. supports 2666mhz Ram
4. power consumption is 65w which is good compare to older model 8th gen which consumption is 95w
5. I am editing 4k@60 in Adobe premier pro smoothly using HyperX 2666 DDR4 32GB RAM
6. SketchUp,AutoCAD 3D,Photoshop,Corel Draw works very good while you have ssd and more Ram configuration with this processor
7. Mac OS In VMware works good as it's virtualaization works Good

I suggest to buy Desktop Processor comparing to Laptop Processor

1 Higher clock speed
2 Can be upgrade
3 supporting motherboard support higher Ram speed and size so you will love to work with your computer",faster processor speed in budget,"i like in 10000rs segment processor
1 inbuilt 4k support no need for graphics card for basic stuff like web browsing ms officewatching 4k video at 60fps  tested from oneplus 6t 4k60fps 
buttery smooth in playback
2 base speed is 360ghz
3 supports 2666mhz ram
4 power consumption is 65w which is good compare to older model 8th gen which consumption is 95w
5 i am editing 4k60 in adobe premier pro smoothly using hyperx 2666 ddr4 32gb ram
6 sketchupautocad 3dphotoshopcorel draw works very good while you have ssd and more ram configuration with this processor
7 mac os in vmware works good as its virtualaization works good

i suggest to buy desktop processor comparing to laptop processor

1 higher clock speed
2 can be upgrade
3 supporting motherboard support higher ram speed and size so you will love to work with your computer"
Best value for money budget intel processor as of now,"Satifactory normal work performance.
Yet to test the gaming capability.",positive,Best value for money budget intel processor as of now,"Satifactory normal work performance.
Yet to test the gaming capability.",best value for money budget intel processor as of now,"satifactory normal work performance
yet to test the gaming capability"
Good one,Good one,positive,Good one,Good one,good one,good one
Beyond words,"If u wanna beat your 8th gen i7 friend,,,here is the deal. 10th gen 4/8 core/thread with 4.3Ghz boost clock won't be a bottleneck for even rtx 2080 ti. I can see that my i3 10100 is bored at 30 % load when my rx 580 is struggling 100% to catch up with it while gaming.",negative,Beyond words,"If u wanna beat your 8th gen i7 friend,,,here is the deal. 10th gen 4/8 core/thread with 4.3Ghz boost clock won't be a bottleneck for even rtx 2080 ti. I can see that my i3 10100 is bored at 30 % load when my rx 580 is struggling 100% to catch up with it while gaming.",beyond words,if u wanna beat your 8th gen i7 friendhere is the deal 10th gen 48 corethread with 43ghz boost clock wont be a bottleneck for even rtx 2080 ti i can see that my i3 10100 is bored at 30  load when my rx 580 is struggling 100 to catch up with it while gaming
Inbuild with graphics,"Great work with gigabyte h460m motherboard with corsair 8gb ram...
Still powerful performance also graphics is also good..",positive,Inbuild with graphics,"Great work with gigabyte h460m motherboard with corsair 8gb ram...
Still powerful performance also graphics is also good..",inbuild with graphics,"great work with gigabyte h460m motherboard with corsair 8gb ram
still powerful performance also graphics is also good"
box was already open,Processor box was already open. But thank God processor was damaged.,neutral,box was already open,Processor box was already open. But thank God processor was damaged.,box was already open,processor box was already open but thank god processor was damaged
Divisor de águas! Excelente custo benefício!,Equivalente ao i7 da sétima geração e ao i5 da nona geração. Excelente custo benefício. A placa de vídeo onboard segura a maioria dos jogos em resolução baixa. controlador para até DDR4 2666. Se deseja DDr4 3200 melhor ir para a 11geração ou acima. Suporta bem uma GTX 1660 super. Não é uma maquina top mas resolve muuuiiito. Excetuando-se situações específicas de uso gráfico pesado excelente opção.,positive,Divisor de águas! Excelente custo benefício!,Equivalente ao i7 da sétima geração e ao i5 da nona geração. Excelente custo benefício. A placa de vídeo onboard segura a maioria dos jogos em resolução baixa. controlador para até DDR4 2666. Se deseja DDr4 3200 melhor ir para a 11geração ou acima. Suporta bem uma GTX 1660 super. Não é uma maquina top mas resolve muuuiiito. Excetuando-se situações específicas de uso gráfico pesado excelente opção.,divisor de guas excelente custo benefcio,equivalente ao i7 da stima gerao e ao i5 da nona gerao excelente custo benefcio a placa de vdeo onboard segura a maioria dos jogos em resoluo baixa controlador para at ddr4 2666 se deseja ddr4 3200 melhor ir para a 11gerao ou acima suporta bem uma gtx 1660 super no  uma maquina top mas resolve muuuiiito excetuandose situaes especficas de uso grfico pesado excelente opo
Best budget performer ever !,"I've had many different processors in the past. I find this 10100 one in particular, to give me the biggest bang for my buck! You have to spend quite a bit more to get more performance, and even then you'd only get like 15 to 25% more. The performance per CPU of this beauty is fantastic, plus you get more than ample performance when running many threads.",positive,Best budget performer ever !,"I've had many different processors in the past. I find this 10100 one in particular, to give me the biggest bang for my buck! You have to spend quite a bit more to get more performance, and even then you'd only get like 15 to 25% more. The performance per CPU of this beauty is fantastic, plus you get more than ample performance when running many threads.",best budget performer ever ,ive had many different processors in the past i find this 10100 one in particular to give me the biggest bang for my buck you have to spend quite a bit more to get more performance and even then youd only get like 15 to 25 more the performance per cpu of this beauty is fantastic plus you get more than ample performance when running many threads
Excelente procesador para gaming,"Yo tengo pc gaming, vengo de un procesador feo Pentium 4600, que corria los juegos, pero hasta ahi, es todo lo que hacia, no podia hacer nada mas que jugar y ya, no podria hacer streaming, no podia entrar a discord para platicar o estar en comunicacion, nada, tenia que hacer una cosa a la vez, me compre este procesador.. y literal, el inicio cambio de 25 segundos a 6.5 segundos (siiii, es mucha diferencia) y ahora puedo hacer streaming y estar en discord mientras juego sin problemas ni nada, super potente para ser un i3 y corre los juegos en 60fps sin problemas a full hd (tengo una nvidia 1050ti)",positive,Excelente procesador para gaming,"Yo tengo pc gaming, vengo de un procesador feo Pentium 4600, que corria los juegos, pero hasta ahi, es todo lo que hacia, no podia hacer nada mas que jugar y ya, no podria hacer streaming, no podia entrar a discord para platicar o estar en comunicacion, nada, tenia que hacer una cosa a la vez, me compre este procesador.. y literal, el inicio cambio de 25 segundos a 6.5 segundos (siiii, es mucha diferencia) y ahora puedo hacer streaming y estar en discord mientras juego sin problemas ni nada, super potente para ser un i3 y corre los juegos en 60fps sin problemas a full hd (tengo una nvidia 1050ti)",excelente procesador para gaming,yo tengo pc gaming vengo de un procesador feo pentium 4600 que corria los juegos pero hasta ahi es todo lo que hacia no podia hacer nada mas que jugar y ya no podria hacer streaming no podia entrar a discord para platicar o estar en comunicacion nada tenia que hacer una cosa a la vez me compre este procesador y literal el inicio cambio de 25 segundos a 65 segundos siiii es mucha diferencia y ahora puedo hacer streaming y estar en discord mientras juego sin problemas ni nada super potente para ser un i3 y corre los juegos en 60fps sin problemas a full hd tengo una nvidia 1050ti
